"Parent ID","Parent SKU","Product ID","Product SKU","Product Name","Slug","Permalink","Description","Excerpt","Product Published","Product Modified","Type","Visibility","Featured","Virtual","Downloadable","Price","Sale Price","Sale Price Dates From","Sale Price Dates To","Weight","Weight Unit","Height","Height Unit","Width","Width Unit","Length","Length Unit","Category","Tag","Featured Image","Product Gallery","Tax Status","Tax Class","File Download","Download Limit","Download Expiry","Download Type","Manage Stock","Quantity","Stock Status","Allow Backorders","Sold Individually","Up-Sells","Cross-Sells","Product URL","Button Text","Purchase Note","Product Status","Enable Reviews","Sort Order","Attribute: Size","Attribute: Colors","Attribute: Saree Fabric"
"","","28435","TA6","Multicolour Diamante Stone Anklet","imitation-designer-jewelry-5","http://swarajshop.com/?post_type=product&#038;p=28435","Complete your traditional or contemporary look by adorning these exquisite anklets by Traditsiya. Wear it with an Anarkali, Saree, Lehenga Choli, Salwar Kameez or just a casual Kurti, this intricately designed anklet will add a charm to any attire.","","09/06/2014","21/06/2014","Simple Product","Catalog &#038; Search","No","No","No","650","","","","","","","","","","","","Jewellery>Anklets|Jewellery","online silver jewellery","",,"Taxable","","","","","Standard","Yes","1","In Stock","No","No","","","","","","pending","Open","0",,,
"","","28434","TA5","Diamante Stone Delicate Anklet","imitation-designer-jewelry-4","http://swarajshop.com/product/imitation-designer-jewelry-4/","Complete your traditional or contemporary look by adorning these exquisite anklets by Traditsiya. Wear it with an Anarkali, Saree, Lehenga Choli, Salwar Kameez or just a casual Kurti, this intricately designed anklet will add a charm to any attire.","","09/06/2014","21/06/2014","Simple Product","Catalog &#038; Search","No","No","No","650","","","","","","","","","","","","Jewellery>Anklets|Jewellery","online silver jewellery","http://swarajshop.com/wp-content/uploads/2014/06/TA5_MAIN_LR.jpg","28457","Taxable","","","","","Standard","Yes","1","In Stock","No","No","","","","","","Publish","Open","0",,,
"","","28433","TA4","Red and Green Pearl Stone Anklet","imitation-designer-jewelry-3","http://swarajshop.com/product/imitation-designer-jewelry-3/","Complete your traditional or contemporary look by adorning these exquisite anklets by Traditsiya. Wear it with an Anarkali, Saree, Lehenga Choli, Salwar Kameez or just a casual Kurti, this intricately designed anklet will add a charm to any attire.","","09/06/2014","21/06/2014","Simple Product","Catalog &#038; Search","No","No","No","950","","","","","","","","","","","","Jewellery>Anklets|Jewellery","online silver jewellery","http://swarajshop.com/wp-content/uploads/2014/06/TA4_MAIN_LR.jpg","28454","Taxable","","","","","Standard","Yes","1","In Stock","No","No","","","","","","Publish","Open","0",,,
"","","28432","TA3","Silver Stone Studded Toe ring attached Anklet","imitation-designer-jewelry-2","http://swarajshop.com/product/imitation-designer-jewelry-2/","Complete your traditional or contemporary look by adorning these exquisite anklets by Traditsiya. Wear it with an Anarkali, Saree, Lehenga Choli, Salwar Kameez or just a casual Kurti, this intricately designed anklet will add a charm to any attire.","","09/06/2014","21/06/2014","Simple Product","Catalog &#038; Search","No","No","No","1250","","","","","","","","","","","","Jewellery>Anklets|Jewellery","online silver jewellery","http://swarajshop.com/wp-content/uploads/2014/06/TA3_CLOSEUP_LR.jpg","28452|28451","Taxable","","","","","Standard","Yes","1","In Stock","No","No","","","","","","Publish","Open","0",,,
"","","28430","TA2","Mini Fish Shaped Anklet","imitation-designer-jewelry-r","http://swarajshop.com/product/imitation-designer-jewelry-r/","Complete your traditional or contemporary look by adorning these exquisite anklets by Traditsiya. Wear it with an Anarkali, Saree, Lehenga Choli, Salwar Kameez or just a casual Kurti, this intricately designed anklet will add a charm to any attire.","","09/06/2014","21/06/2014","Simple Product","Catalog &#038; Search","No","No","No","650","","","","","","","","","","","","Jewellery>Anklets|Jewellery","online silver jewellery","http://swarajshop.com/wp-content/uploads/2014/06/TA2_MAIN_LR.jpg","28450","Taxable","","","","","Standard","Yes","1","In Stock","No","No","","","","","","Publish","Open","0",,,
"","","28429","TA1","Diamante Stone Studded Anklet","imitation-designer-jewelry","http://swarajshop.com/product/imitation-designer-jewelry/","Complete your traditional or contemporary look by adorning these exquisite anklets by Traditsiya. Wear it with an Anarkali, Saree, Lehenga Choli, Salwar Kameez or just a casual Kurti, this intricately designed anklet will add a charm to any attire.","","09/06/2014","21/06/2014","Simple Product","Catalog &#038; Search","No","No","No","650","","","","","","","","","","","","Jewellery>Anklets|Jewellery","online silver jewellery","http://swarajshop.com/wp-content/uploads/2014/06/TA1_MAIN_LR.jpg","28447","Taxable","","","","","Standard","Yes","1","In Stock","No","No","","","","","","Publish","Open","0",,,
"","","28278","TBS23","Glitzy Red and Golden Eight piece Bridal Set","glitzy-red-golden-piece-bridal-set","http://swarajshop.com/product/glitzy-red-golden-piece-bridal-set/","A bride deserves to dress up like a princess on her wedding day and we understand that perfectly. This bridal set will help you steal the limelight, exclusively designed with shimmering beads and sparkly diamant","","08/06/2014","08/06/2014","Simple Product","Catalog &#038; Search","No","No","No","8895","","","","","","","","","","","","Bridal Sets|Jewellery","","http://swarajshop.com/wp-content/uploads/2014/06/TBS23_EARING_LR1.jpg","28280|28281","Taxable","","","","","Standard","Yes","1","In Stock","No","No","","","","","","Publish","Open","0",,,
"","","28276","TBS17","Red and Green Jhaalar Eight Pieces Bridal Set","red-green-jhaalar-pieces-bridal-set","http://swarajshop.com/product/red-green-jhaalar-pieces-bridal-set/","A bride deserves to dress up like a princess on her wedding day and we understand that perfectly. This bridal set will help you steal the limelight, exclusively designed with shimmering beads and sparkly diamant","","08/06/2014","08/06/2014","Simple Product","Catalog &#038; Search","No","No","No","7550","","","","","","","","","","","","Bridal Sets|Jewellery","","http://swarajshop.com/wp-content/uploads/2014/06/TBS17_main1.jpg",,"Taxable","","","","","Standard","Yes","1","In Stock","No","No","","","","","","Publish","Open","0",,,
"","","28274","TBS15","Glittery Red and Green Eight Pieces Bridal Set","glittery-red-green-pieces-bridal-set","http://swarajshop.com/product/glittery-red-green-pieces-bridal-set/","A bride deserves to dress up like a princess on her wedding day and we understand that perfectly. This bridal set will help you steal the limelight, exclusively designed with shimmering beads and sparkly diamant","","08/06/2014","08/06/2014","Simple Product","Catalog &#038; Search","No","No","No","12550","","","","","","","","","","","","Bridal Sets|Jewellery","","http://swarajshop.com/wp-content/uploads/2014/06/TBS15_main1.jpg",,"Taxable","","","","","Standard","Yes","1","In Stock","No","No","","","","","","Publish","Open","0",,,
"","","28272","TBS14","Sparkly Maroon and Gold Eight Pieces Bridal Set","sparkly-maroon-gold-pieces-bridal-set","http://swarajshop.com/product/sparkly-maroon-gold-pieces-bridal-set/","A bride deserves to dress up like a princess on her wedding day and we understand that perfectly. This bridal set will help you steal the limelight, exclusively designed with shimmering beads and sparkly diamant","","08/06/2014","08/06/2014","Simple Product","Catalog &#038; Search","No","No","No","11550","","","","","","","","","","","","Bridal Sets|Jewellery","","http://swarajshop.com/wp-content/uploads/2014/06/TBS14_main1.jpg",,"Taxable","","","","","Standard","Yes","1","In Stock","No","No","","","","","","Publish","Open","0",,,
"","","28270","TBS13","Exquisite Maroon Seven Pieces Bridal Set","exquisite-maroon-pieces-bridal-set","http://swarajshop.com/product/exquisite-maroon-pieces-bridal-set/","A bride deserves to dress up like a princess on her wedding day and we understand that perfectly. This bridal set will help you steal the limelight, exclusively designed with shimmering beads and sparkly diamant","","08/06/2014","08/06/2014","Simple Product","Catalog &#038; Search","No","No","No","10550","","","","","","","","","","","","Bridal Sets|Jewellery","","http://swarajshop.com/wp-content/uploads/2014/06/TBS13_LR1.jpg",,"Taxable","","","","","Standard","Yes","1","In Stock","No","No","","","","","","Publish","Open","0",,,
"","","28268","TBS12","Extravagant Red and Green Seven Pieces Bridal Set","extravagant-red-green-pieces-bridal-set","http://swarajshop.com/product/extravagant-red-green-pieces-bridal-set/","A bride deserves to dress up like a princess on her wedding day and we understand that perfectly. This bridal set will help you steal the limelight, exclusively designed with shimmering beads and sparkly diamant","","08/06/2014","08/06/2014","Simple Product","Catalog &#038; Search","No","No","No","12550","","","","","","","","","","","","Bridal Sets|Jewellery","","http://swarajshop.com/wp-content/uploads/2014/06/TBS12_MAIN1.jpg",,"Taxable","","","","","Standard","Yes","1","In Stock","No","No","","","","","","Publish","Open","0",,,
